year,month,weekday,hour,# Unfaelle,val_nied,val_temp
2016.0,1.0,1.0,1.0,0.0,0.05,2.175
2016.0,1.0,1.0,2.0,0.0,0.225,2.275
2016.0,1.0,1.0,3.0,0.0,0.175,2.05
2016.0,1.0,1.0,4.0,1.0,0.175,2.0
2016.0,1.0,1.0,5.0,0.0,0.275,1.5
2016.0,1.0,1.0,6.0,0.0,0.125,1.225
2016.0,1.0,1.0,7.0,0.0,0.2,1.3499999999999999
2016.0,1.0,1.0,8.0,0.0,0.0,1.375
2016.0,1.0,1.0,9.0,0.0,0.025,1.575
2016.0,1.0,1.0,10.0,0.0,0.075,2.0
2016.0,1.0,1.0,11.0,1.0,0.075,2.3
2016.0,1.0,1.0,12.0,0.0,0.25,2.95
2016.0,1.0,1.0,13.0,0.0,0.275,3.375
2016.0,1.0,1.0,14.0,0.0,0.0,4.0
2016.0,1.0,1.0,15.0,0.0,0.025,4.425
2016.0,1.0,1.0,16.0,0.0,0.3,4.65
2016.0,1.0,1.0,17.0,0.0,1.175,4.25
2016.0,1.0,1.0,18.0,0.0,0.025,3.8
2016.0,1.0,1.0,19.0,0.0,0.0,3.625
2016.0,1.0,1.0,20.0,1.0,0.0,2.9
2016.0,1.0,1.0,21.0,0.0,0.075,2.75
2016.0,1.0,1.0,22.0,0.0,0.075,2.4
2016.0,1.0,1.0,23.0,0.0,0.0,2.45
2016.0,1.0,1.0,24.0,0.0,0.0,2.4000000000000004
2016.0,1.0,2.0,1.0,0.0,0.0,1.95
2016.0,1.0,2.0,2.0,0.0,0.525,2.275
2016.0,1.0,2.0,3.0,0.0,0.25,2.0250000000000004
2016.0,1.0,2.0,4.0,0.0,0.0,1.725
2016.0,1.0,2.0,5.0,0.0,0.05,1.725
2016.0,1.0,2.0,6.0,1.0,0.0,2.25
2016.0,1.0,2.0,7.0,2.0,0.0,2.075
2016.0,1.0,2.0,8.0,1.0,0.0,1.925
2016.0,1.0,2.0,9.0,0.0,0.0,1.225
2016.0,1.0,2.0,10.0,1.0,0.0,1.825
2016.0,1.0,2.0,11.0,1.0,0.025,2.875
2016.0,1.0,2.0,12.0,1.0,0.025,3.75
2016.0,1.0,2.0,13.0,0.0,0.05,4.075
2016.0,1.0,2.0,14.0,0.0,0.2,4.4
2016.0,1.0,2.0,15.0,0.0,0.0,4.15
2016.0,1.0,2.0,16.0,0.0,0.025,4.05
2016.0,1.0,2.0,17.0,0.0,0.05,3.925
2016.0,1.0,2.0,18.0,2.0,0.1,3.3
2016.0,1.0,2.0,19.0,0.0,0.275,3.325
2016.0,1.0,2.0,20.0,0.0,0.0,3.025
2016.0,1.0,2.0,21.0,0.0,0.0,2.85
2016.0,1.0,2.0,22.0,0.0,0.0,2.775
2016.0,1.0,2.0,23.0,0.0,0.2,2.5500000000000003
2016.0,1.0,2.0,24.0,0.0,0.075,2.9
2016.0,1.0,3.0,1.0,0.0,0.07500000000000001,2.6500000000000004
2016.0,1.0,3.0,2.0,0.0,0.0,2.675
2016.0,1.0,3.0,3.0,0.0,0.0,2.675
2016.0,1.0,3.0,4.0,0.0,0.0,2.85
2016.0,1.0,3.0,5.0,0.0,0.0,2.875
2016.0,1.0,3.0,6.0,0.0,0.025,2.95
2016.0,1.0,3.0,7.0,1.0,0.05,3.1
2016.0,1.0,3.0,8.0,0.0,0.075,3.1500000000000004
2016.0,1.0,3.0,9.0,0.0,0.0,3.175
2016.0,1.0,3.0,10.0,0.0,0.025,3.4
2016.0,1.0,3.0,11.0,1.0,0.05,4.175
2016.0,1.0,3.0,12.0,0.0,0.0,4.95
2016.0,1.0,3.0,13.0,0.0,0.0,5.225
2016.0,1.0,3.0,14.0,0.0,0.0,5.525
2016.0,1.0,3.0,15.0,1.0,0.0,5.85
2016.0,1.0,3.0,16.0,0.0,0.0,5.85
2016.0,1.0,3.0,17.0,0.0,0.0,5.625
2016.0,1.0,3.0,18.0,0.0,0.0,5.2
2016.0,1.0,3.0,19.0,0.0,0.0,4.925000000000001
2016.0,1.0,3.0,20.0,0.0,0.0,5.125
2016.0,1.0,3.0,21.0,0.0,0.0,4.775
2016.0,1.0,3.0,22.0,0.0,0.0,5.0
2016.0,1.0,3.0,23.0,0.0,0.0,4.7
2016.0,1.0,3.0,24.0,0.0,0.0,4.4
2016.0,1.0,4.0,1.0,0.0,0.0,4.45
2016.0,1.0,4.0,2.0,0.0,0.0,4.2
2016.0,1.0,4.0,3.0,0.0,0.0,4.125
2016.0,1.0,4.0,4.0,0.0,0.0,4.025
2016.0,1.0,4.0,5.0,0.0,0.0,3.9
2016.0,1.0,4.0,6.0,0.0,0.05,3.7
2016.0,1.0,4.0,7.0,0.0,0.375,3.325
2016.0,1.0,4.0,8.0,0.0,0.375,2.575
2016.0,1.0,4.0,9.0,0.0,0.225,2.875
2016.0,1.0,4.0,10.0,0.0,0.0,3.225
2016.0,1.0,4.0,11.0,0.0,0.0,3.675
2016.0,1.0,4.0,12.0,0.0,0.0,4.05
2016.0,1.0,4.0,13.0,0.0,0.0,4.225
2016.0,1.0,4.0,14.0,0.0,0.025,4.575
2016.0,1.0,4.0,15.0,1.0,0.475,4.4
2016.0,1.0,4.0,16.0,1.0,0.25,4.425
2016.0,1.0,4.0,17.0,1.0,0.30000000000000004,3.5999999999999996
2016.0,1.0,4.0,18.0,0.0,0.15000000000000002,3.1500000000000004
2016.0,1.0,4.0,19.0,0.0,0.025,2.8
2016.0,1.0,4.0,20.0,0.0,0.0,2.675
2016.0,1.0,4.0,21.0,0.0,0.0,3.05
2016.0,1.0,4.0,22.0,1.0,0.0,2.7
2016.0,1.0,4.0,23.0,0.0,0.1,2.525
2016.0,1.0,4.0,24.0,0.0,0.05,2.6
2016.0,1.0,5.0,1.0,0.0,0.0,2.62
2016.0,1.0,5.0,2.0,0.0,0.02,2.2
2016.0,1.0,5.0,3.0,0.0,0.1,1.8400000000000003
2016.0,1.0,5.0,4.0,0.0,0.0,1.7
2016.0,1.0,5.0,5.0,0.0,0.0,1.4599999999999997
2016.0,1.0,5.0,6.0,0.0,0.04,1.2399999999999998
2016.0,1.0,5.0,7.0,0.0,0.02,0.9599999999999997
2016.0,1.0,5.0,8.0,0.0,0.0,0.8400000000000001
2016.0,1.0,5.0,9.0,1.0,0.0,1.08
2016.0,1.0,5.0,10.0,0.0,0.0,1.4200000000000002
2016.0,1.0,5.0,11.0,1.0,0.0,2.1599999999999997
2016.0,1.0,5.0,12.0,1.0,0.0,3.0
2016.0,1.0,5.0,13.0,1.0,0.0,3.46
2016.0,1.0,5.0,14.0,0.0,0.12,3.5799999999999996
2016.0,1.0,5.0,15.0,2.0,0.04,3.8599999999999994
2016.0,1.0,5.0,16.0,0.0,0.06,3.9
2016.0,1.0,5.0,17.0,1.0,0.02,3.38
2016.0,1.0,5.0,18.0,0.0,0.0,3.2
2016.0,1.0,5.0,19.0,0.0,0.0,2.8600000000000003
2016.0,1.0,5.0,20.0,0.0,0.0,2.5
2016.0,1.0,5.0,21.0,0.0,0.0,2.44
2016.0,1.0,5.0,22.0,0.0,0.0,2.4
2016.0,1.0,5.0,23.0,0.0,0.02,2.3
2016.0,1.0,5.0,24.0,0.0,0.24,2.1799999999999997
2016.0,1.0,6.0,1.0,0.0,0.22000000000000003,2.04
2016.0,1.0,6.0,2.0,0.0,0.13999999999999999,2.02
2016.0,1.0,6.0,3.0,0.0,0.1,1.8800000000000001
2016.0,1.0,6.0,4.0,0.0,0.0,1.94
2016.0,1.0,6.0,5.0,1.0,0.0,2.1
2016.0,1.0,6.0,6.0,0.0,0.0,2.2399999999999998
2016.0,1.0,6.0,7.0,1.0,0.0,2.44
2016.0,1.0,6.0,8.0,2.0,0.02,2.5
2016.0,1.0,6.0,9.0,3.0,0.06,2.54
2016.0,1.0,6.0,10.0,1.0,0.2,2.68
2016.0,1.0,6.0,11.0,1.0,0.1,2.94
2016.0,1.0,6.0,12.0,0.0,0.13999999999999999,3.2600000000000002
2016.0,1.0,6.0,13.0,0.0,0.15999999999999998,3.78
2016.0,1.0,6.0,14.0,1.0,0.12,4.220000000000001
2016.0,1.0,6.0,15.0,0.0,0.13999999999999999,4.38
2016.0,1.0,6.0,16.0,0.0,0.25999999999999995,3.8600000000000003
2016.0,1.0,6.0,17.0,1.0,0.3,3.4799999999999995
2016.0,1.0,6.0,18.0,0.0,0.45999999999999996,3.4200000000000004
2016.0,1.0,6.0,19.0,0.0,0.52,3.3200000000000003
2016.0,1.0,6.0,20.0,0.0,0.02,3.16
2016.0,1.0,6.0,21.0,0.0,0.0,3.28
2016.0,1.0,6.0,22.0,0.0,0.0,2.84
2016.0,1.0,6.0,23.0,0.0,0.02,2.8600000000000003
2016.0,1.0,6.0,24.0,0.0,0.04,3.04
2016.0,1.0,7.0,1.0,0.0,0.08,3.1
2016.0,1.0,7.0,2.0,0.0,0.02,2.88
2016.0,1.0,7.0,3.0,0.0,0.02,3.04
2016.0,1.0,7.0,4.0,0.0,0.02,3.1799999999999997
2016.0,1.0,7.0,5.0,0.0,0.04,2.88
2016.0,1.0,7.0,6.0,0.0,0.18,2.7
2016.0,1.0,7.0,7.0,0.0,0.38,2.4
2016.0,1.0,7.0,8.0,0.0,0.04,2.42
2016.0,1.0,7.0,9.0,0.0,0.0,2.2399999999999998
2016.0,1.0,7.0,10.0,0.0,0.0,2.8200000000000003
2016.0,1.0,7.0,11.0,1.0,0.0,3.4
2016.0,1.0,7.0,12.0,0.0,0.0,3.8599999999999994
2016.0,1.0,7.0,13.0,0.0,0.0,4.42
2016.0,1.0,7.0,14.0,0.0,0.0,4.62
2016.0,1.0,7.0,15.0,0.0,0.0,4.58
2016.0,1.0,7.0,16.0,0.0,0.06000000000000001,4.24
2016.0,1.0,7.0,17.0,0.0,0.0,4.24
2016.0,1.0,7.0,18.0,0.0,0.18,3.88
2016.0,1.0,7.0,19.0,0.0,0.52,3.38
2016.0,1.0,7.0,20.0,0.0,0.26,3.34
2016.0,1.0,7.0,21.0,0.0,0.1,3.5
2016.0,1.0,7.0,22.0,0.0,0.06000000000000001,3.7399999999999998
2016.0,1.0,7.0,23.0,0.0,0.04,4.2
2016.0,1.0,7.0,24.0,1.0,0.04,4.159999999999999
2016.0,2.0,1.0,1.0,0.0,0.0,7.1
2016.0,2.0,1.0,2.0,1.0,0.0,7.06
2016.0,2.0,1.0,3.0,0.0,0.0,7.18
2016.0,2.0,1.0,4.0,1.0,0.0,7.0200000000000005
2016.0,2.0,1.0,5.0,0.0,0.0,6.5200000000000005
2016.0,2.0,1.0,6.0,0.0,0.0,6.5
2016.0,2.0,1.0,7.0,0.0,0.0,6.5200000000000005
2016.0,2.0,1.0,8.0,0.0,0.0,6.640000000000001
2016.0,2.0,1.0,9.0,0.0,0.0,6.7
2016.0,2.0,1.0,10.0,1.0,0.0,7.4
2016.0,2.0,1.0,11.0,0.0,0.0,7.62
2016.0,2.0,1.0,12.0,0.0,0.02,8.02
2016.0,2.0,1.0,13.0,0.0,0.26,8.1
2016.0,2.0,1.0,14.0,0.0,0.02,8.28
2016.0,2.0,1.0,15.0,0.0,0.0,8.18
2016.0,2.0,1.0,16.0,0.0,1.0799999999999998,6.859999999999999
2016.0,2.0,1.0,17.0,0.0,0.62,6.859999999999999
2016.0,2.0,1.0,18.0,0.0,0.0,6.7
2016.0,2.0,1.0,19.0,0.0,0.0,6.5
2016.0,2.0,1.0,20.0,0.0,0.0,6.5
2016.0,2.0,1.0,21.0,0.0,0.0,6.28
2016.0,2.0,1.0,22.0,0.0,0.0,6.04
2016.0,2.0,1.0,23.0,0.0,0.27999999999999997,5.32
2016.0,2.0,1.0,24.0,0.0,0.22000000000000003,4.96
2016.0,2.0,2.0,1.0,0.0,0.35,5.25
2016.0,2.0,2.0,2.0,0.0,0.225,5.05
2016.0,2.0,2.0,3.0,0.0,0.3,4.725
2016.0,2.0,2.0,4.0,0.0,0.35,4.5
2016.0,2.0,2.0,5.0,0.0,0.325,4.075
2016.0,2.0,2.0,6.0,0.0,0.275,3.85
2016.0,2.0,2.0,7.0,2.0,0.225,3.875
2016.0,2.0,2.0,8.0,0.0,0.325,3.85
2016.0,2.0,2.0,9.0,0.0,0.3,3.675
2016.0,2.0,2.0,10.0,0.0,0.2,4.050000000000001
2016.0,2.0,2.0,11.0,0.0,0.625,4.225
2016.0,2.0,2.0,12.0,1.0,0.4,4.675
2016.0,2.0,2.0,13.0,1.0,0.075,5.325
2016.0,2.0,2.0,14.0,0.0,0.07500000000000001,5.925
2016.0,2.0,2.0,15.0,1.0,0.5,6.25
2016.0,2.0,2.0,16.0,1.0,1.45,5.65
2016.0,2.0,2.0,17.0,3.0,0.65,6.0
2016.0,2.0,2.0,18.0,1.0,0.3,5.625
2016.0,2.0,2.0,19.0,0.0,0.0,5.625
2016.0,2.0,2.0,20.0,0.0,0.8,4.525
2016.0,2.0,2.0,21.0,0.0,0.3,4.0249999999999995
2016.0,2.0,2.0,22.0,1.0,0.0,3.5500000000000003
2016.0,2.0,2.0,23.0,0.0,0.0,3.4
2016.0,2.0,2.0,24.0,0.0,0.0,3.1
2016.0,2.0,3.0,1.0,0.0,0.0,3.025
2016.0,2.0,3.0,2.0,0.0,0.0,2.85
2016.0,2.0,3.0,3.0,0.0,0.0,2.225
2016.0,2.0,3.0,4.0,0.0,0.0,2.1999999999999997
2016.0,2.0,3.0,5.0,0.0,0.0,2.3
2016.0,2.0,3.0,6.0,0.0,0.0,2.225
2016.0,2.0,3.0,7.0,0.0,0.0,1.9749999999999999
2016.0,2.0,3.0,8.0,1.0,0.0,2.1
2016.0,2.0,3.0,9.0,1.0,0.075,2.375
2016.0,2.0,3.0,10.0,0.0,0.0,2.925
2016.0,2.0,3.0,11.0,0.0,0.0,3.5
2016.0,2.0,3.0,12.0,2.0,0.0,4.2
2016.0,2.0,3.0,13.0,0.0,0.05,4.475
2016.0,2.0,3.0,14.0,1.0,0.15000000000000002,3.9749999999999996
2016.0,2.0,3.0,15.0,1.0,0.0,4.175
2016.0,2.0,3.0,16.0,0.0,0.0,4.525
2016.0,2.0,3.0,17.0,2.0,0.0,4.35
2016.0,2.0,3.0,18.0,2.0,0.0,4.05
2016.0,2.0,3.0,19.0,1.0,0.0,3.575
2016.0,2.0,3.0,20.0,0.0,0.0,3.475
2016.0,2.0,3.0,21.0,1.0,0.0,3.0250000000000004
2016.0,2.0,3.0,22.0,0.0,0.0,2.675
2016.0,2.0,3.0,23.0,0.0,0.175,2.225
2016.0,2.0,3.0,24.0,0.0,0.075,2.125
2016.0,2.0,4.0,1.0,0.0,0.0,2.15
2016.0,2.0,4.0,2.0,0.0,0.0,2.225
2016.0,2.0,4.0,3.0,0.0,0.0,2.075
2016.0,2.0,4.0,4.0,0.0,0.0,1.9000000000000001
2016.0,2.0,4.0,5.0,0.0,0.0,1.85
2016.0,2.0,4.0,6.0,0.0,0.0,2.05
2016.0,2.0,4.0,7.0,0.0,0.0,1.9
2016.0,2.0,4.0,8.0,1.0,0.0,1.825
2016.0,2.0,4.0,9.0,0.0,0.0,2.275
2016.0,2.0,4.0,10.0,0.0,0.0,2.8
2016.0,2.0,4.0,11.0,1.0,0.0,3.7
2016.0,2.0,4.0,12.0,1.0,0.1,4.05
2016.0,2.0,4.0,13.0,1.0,0.35,4.4
2016.0,2.0,4.0,14.0,2.0,0.25,4.6
2016.0,2.0,4.0,15.0,1.0,0.25,4.675
2016.0,2.0,4.0,16.0,0.0,0.15,4.375
2016.0,2.0,4.0,17.0,0.0,0.1,4.5
2016.0,2.0,4.0,18.0,0.0,0.0,4.05
2016.0,2.0,4.0,19.0,0.0,0.15,3.925
2016.0,2.0,4.0,20.0,0.0,0.125,3.75
2016.0,2.0,4.0,21.0,0.0,0.05,3.475
2016.0,2.0,4.0,22.0,0.0,0.0,2.775
2016.0,2.0,4.0,23.0,0.0,0.0,2.5
2016.0,2.0,4.0,24.0,0.0,0.0,2.375
2016.0,2.0,5.0,1.0,0.0,0.0,2.15
2016.0,2.0,5.0,2.0,0.0,0.0,1.95
2016.0,2.0,5.0,3.0,0.0,0.0,2.05
2016.0,2.0,5.0,4.0,0.0,0.0,1.425
2016.0,2.0,5.0,5.0,0.0,0.0,1.35
2016.0,2.0,5.0,6.0,0.0,0.0,1.125
2016.0,2.0,5.0,7.0,0.0,0.0,0.7250000000000001
2016.0,2.0,5.0,8.0,1.0,0.0,0.7999999999999999
2016.0,2.0,5.0,9.0,0.0,0.0,1.25
2016.0,2.0,5.0,10.0,0.0,0.025,1.925
2016.0,2.0,5.0,11.0,1.0,0.1,2.275
2016.0,2.0,5.0,12.0,0.0,0.025,3.6500000000000004
2016.0,2.0,5.0,13.0,0.0,0.0,4.4
2016.0,2.0,5.0,14.0,0.0,0.0,5.0
2016.0,2.0,5.0,15.0,0.0,0.0,5.625
2016.0,2.0,5.0,16.0,0.0,0.0,5.75
2016.0,2.0,5.0,17.0,2.0,0.0,5.575
2016.0,2.0,5.0,18.0,1.0,0.0,5.05
2016.0,2.0,5.0,19.0,0.0,0.0,4.4
2016.0,2.0,5.0,20.0,0.0,0.0,4.324999999999999
2016.0,2.0,5.0,21.0,0.0,0.0,3.925
2016.0,2.0,5.0,22.0,0.0,0.0,3.775
2016.0,2.0,5.0,23.0,0.0,0.0,3.65
2016.0,2.0,5.0,24.0,0.0,0.0,3.175
2016.0,2.0,6.0,1.0,0.0,0.0,2.75
2016.0,2.0,6.0,2.0,0.0,0.0,2.5
2016.0,2.0,6.0,3.0,0.0,0.0,2.15
2016.0,2.0,6.0,4.0,0.0,0.0,1.85
2016.0,2.0,6.0,5.0,0.0,0.0,1.425
