year,month,weekday,hour,# Unfaelle,val_nied,val_temp
2016.0,1.0,1.0,1.0,0.0,0.05,0.5750000000000001
2016.0,1.0,1.0,2.0,0.0,0.025,0.3749999999999999
2016.0,1.0,1.0,3.0,0.0,0.325,0.15000000000000013
2016.0,1.0,1.0,4.0,0.0,0.3,-0.1250000000000001
2016.0,1.0,1.0,5.0,1.0,0.2,-1.1102230246251565e-16
2016.0,1.0,1.0,6.0,0.0,0.275,-0.1499999999999999
2016.0,1.0,1.0,7.0,0.0,0.2,1.1102230246251565e-16
2016.0,1.0,1.0,8.0,0.0,0.05,0.125
2016.0,1.0,1.0,9.0,0.0,0.025,0.6000000000000001
2016.0,1.0,1.0,10.0,1.0,0.2,1.075
2016.0,1.0,1.0,11.0,0.0,0.1,1.525
2016.0,1.0,1.0,12.0,0.0,0.35,1.8499999999999999
2016.0,1.0,1.0,13.0,0.0,0.35,2.525
2016.0,1.0,1.0,14.0,0.0,0.05,3.275
2016.0,1.0,1.0,15.0,0.0,0.125,3.325
2016.0,1.0,1.0,16.0,0.0,0.45,3.4
2016.0,1.0,1.0,17.0,0.0,1.4000000000000001,2.8
2016.0,1.0,1.0,18.0,1.0,0.025,1.975
2016.0,1.0,1.0,19.0,0.0,0.0,1.3749999999999998
2016.0,1.0,1.0,20.0,1.0,0.025,0.9000000000000001
2016.0,1.0,1.0,21.0,0.0,0.0,0.95
2016.0,1.0,1.0,22.0,0.0,0.05,1.2
2016.0,1.0,1.0,23.0,0.0,0.05,1.1
2016.0,1.0,1.0,24.0,0.0,0.025,1.2
2016.0,1.0,2.0,1.0,0.0,0.0,1.0
2016.0,1.0,2.0,2.0,0.0,0.05,1.0000000000000002
2016.0,1.0,2.0,3.0,0.0,0.075,1.025
2016.0,1.0,2.0,4.0,1.0,0.075,0.8000000000000002
2016.0,1.0,2.0,5.0,0.0,0.125,0.8
2016.0,1.0,2.0,6.0,0.0,0.0,0.9000000000000001
2016.0,1.0,2.0,7.0,0.0,0.0,0.55
2016.0,1.0,2.0,8.0,0.0,0.0,0.6499999999999999
2016.0,1.0,2.0,9.0,1.0,0.0,0.32499999999999996
2016.0,1.0,2.0,10.0,2.0,0.225,0.7000000000000002
2016.0,1.0,2.0,11.0,1.0,0.075,1.6500000000000001
2016.0,1.0,2.0,12.0,1.0,0.05,2.625
2016.0,1.0,2.0,13.0,1.0,0.025,2.875
2016.0,1.0,2.0,14.0,0.0,0.15,3.0
2016.0,1.0,2.0,15.0,2.0,0.175,3.25
2016.0,1.0,2.0,16.0,2.0,0.2,3.2
2016.0,1.0,2.0,17.0,2.0,0.07500000000000001,2.6750000000000003
2016.0,1.0,2.0,18.0,0.0,0.025,2.4000000000000004
2016.0,1.0,2.0,19.0,2.0,0.25,2.2
2016.0,1.0,2.0,20.0,0.0,0.275,2.0
2016.0,1.0,2.0,21.0,0.0,0.0,1.55
2016.0,1.0,2.0,22.0,0.0,0.025,1.2249999999999999
2016.0,1.0,2.0,23.0,0.0,0.0,1.15
2016.0,1.0,2.0,24.0,0.0,0.225,1.0750000000000002
2016.0,1.0,3.0,1.0,0.0,0.05,1.5250000000000001
2016.0,1.0,3.0,2.0,0.0,0.05,1.5250000000000004
2016.0,1.0,3.0,3.0,0.0,0.0,1.7000000000000002
2016.0,1.0,3.0,4.0,0.0,0.025,1.5750000000000002
2016.0,1.0,3.0,5.0,0.0,0.125,1.6
2016.0,1.0,3.0,6.0,0.0,0.075,1.7999999999999998
2016.0,1.0,3.0,7.0,1.0,0.25,2.3
2016.0,1.0,3.0,8.0,0.0,0.15,2.3999999999999995
2016.0,1.0,3.0,9.0,0.0,0.325,2.5749999999999997
2016.0,1.0,3.0,10.0,0.0,0.025,2.725
2016.0,1.0,3.0,11.0,1.0,0.0,3.5999999999999996
2016.0,1.0,3.0,12.0,2.0,0.0,4.175
2016.0,1.0,3.0,13.0,2.0,0.2,4.225
2016.0,1.0,3.0,14.0,0.0,0.025,4.275
2016.0,1.0,3.0,15.0,1.0,0.025,4.675
2016.0,1.0,3.0,16.0,1.0,0.0,4.875
2016.0,1.0,3.0,17.0,3.0,0.0,4.675000000000001
2016.0,1.0,3.0,18.0,1.0,0.0,4.375
2016.0,1.0,3.0,19.0,1.0,0.0,3.9
2016.0,1.0,3.0,20.0,0.0,0.0,3.7
2016.0,1.0,3.0,21.0,0.0,0.025,3.45
2016.0,1.0,3.0,22.0,0.0,0.05,3.45
2016.0,1.0,3.0,23.0,0.0,0.025,3.625
2016.0,1.0,3.0,24.0,1.0,0.0,3.575
2016.0,1.0,4.0,1.0,0.0,0.0,3.425
2016.0,1.0,4.0,2.0,0.0,0.0,3.325
2016.0,1.0,4.0,3.0,0.0,0.0,3.425
2016.0,1.0,4.0,4.0,0.0,0.0,3.0
2016.0,1.0,4.0,5.0,0.0,0.025,3.075
2016.0,1.0,4.0,6.0,0.0,0.075,2.975
2016.0,1.0,4.0,7.0,0.0,0.55,2.75
2016.0,1.0,4.0,8.0,1.0,0.15,2.325
2016.0,1.0,4.0,9.0,0.0,0.05,2.4000000000000004
2016.0,1.0,4.0,10.0,1.0,0.0,2.675
2016.0,1.0,4.0,11.0,1.0,0.0,3.1750000000000003
2016.0,1.0,4.0,12.0,0.0,0.0,3.9000000000000004
2016.0,1.0,4.0,13.0,1.0,0.0,4.300000000000001
2016.0,1.0,4.0,14.0,0.0,0.0,4.125
2016.0,1.0,4.0,15.0,0.0,0.325,3.7249999999999996
2016.0,1.0,4.0,16.0,2.0,0.725,3.425
2016.0,1.0,4.0,17.0,1.0,0.975,2.275
2016.0,1.0,4.0,18.0,1.0,0.6,1.925
2016.0,1.0,4.0,19.0,0.0,0.025,1.45
2016.0,1.0,4.0,20.0,0.0,0.0,1.225
2016.0,1.0,4.0,21.0,0.0,0.0,1.175
2016.0,1.0,4.0,22.0,0.0,0.0,1.025
2016.0,1.0,4.0,23.0,0.0,0.175,1.125
2016.0,1.0,4.0,24.0,0.0,0.175,0.7499999999999998
2016.0,1.0,5.0,1.0,0.0,0.08,0.8400000000000001
2016.0,1.0,5.0,2.0,0.0,0.0,0.6199999999999999
2016.0,1.0,5.0,3.0,0.0,0.0,0.82
2016.0,1.0,5.0,4.0,0.0,0.0,0.43999999999999984
2016.0,1.0,5.0,5.0,0.0,0.1,0.13999999999999993
2016.0,1.0,5.0,6.0,0.0,0.33999999999999997,0.039999999999999925
2016.0,1.0,5.0,7.0,0.0,0.02,-0.52
2016.0,1.0,5.0,8.0,1.0,0.0,-0.44000000000000006
2016.0,1.0,5.0,9.0,2.0,0.0,-0.6799999999999999
2016.0,1.0,5.0,10.0,0.0,0.02,0.31999999999999995
2016.0,1.0,5.0,11.0,1.0,0.0,1.6600000000000001
2016.0,1.0,5.0,12.0,1.0,0.02,2.06
2016.0,1.0,5.0,13.0,0.0,0.08,2.7
2016.0,1.0,5.0,14.0,0.0,0.0,3.18
2016.0,1.0,5.0,15.0,0.0,0.08,3.38
2016.0,1.0,5.0,16.0,1.0,0.0,3.06
2016.0,1.0,5.0,17.0,1.0,0.0,2.42
2016.0,1.0,5.0,18.0,0.0,0.02,1.94
2016.0,1.0,5.0,19.0,0.0,0.0,1.6200000000000003
2016.0,1.0,5.0,20.0,0.0,0.0,1.6199999999999999
2016.0,1.0,5.0,21.0,0.0,0.0,1.5399999999999998
2016.0,1.0,5.0,22.0,0.0,0.0,1.6799999999999997
2016.0,1.0,5.0,23.0,0.0,0.02,1.9600000000000002
2016.0,1.0,5.0,24.0,0.0,0.32,1.6600000000000001
2016.0,1.0,6.0,1.0,0.0,0.2,1.46
2016.0,1.0,6.0,2.0,1.0,0.1,1.3599999999999999
2016.0,1.0,6.0,3.0,0.0,0.04,1.28
2016.0,1.0,6.0,4.0,1.0,0.02,1.3800000000000001
2016.0,1.0,6.0,5.0,0.0,0.0,1.1600000000000001
2016.0,1.0,6.0,6.0,0.0,0.0,1.1
2016.0,1.0,6.0,7.0,1.0,0.0,1.06
2016.0,1.0,6.0,8.0,1.0,0.0,0.9799999999999999
2016.0,1.0,6.0,9.0,1.0,0.02,0.8399999999999999
2016.0,1.0,6.0,10.0,0.0,0.2,1.26
2016.0,1.0,6.0,11.0,1.0,0.24,1.6600000000000001
2016.0,1.0,6.0,12.0,0.0,0.1,1.92
2016.0,1.0,6.0,13.0,2.0,0.12000000000000002,2.3
2016.0,1.0,6.0,14.0,3.0,0.26,2.56
2016.0,1.0,6.0,15.0,2.0,0.13999999999999999,3.0799999999999996
2016.0,1.0,6.0,16.0,0.0,0.4600000000000001,2.8600000000000003
2016.0,1.0,6.0,17.0,1.0,0.3,2.94
2016.0,1.0,6.0,18.0,1.0,0.52,2.62
2016.0,1.0,6.0,19.0,1.0,0.28,2.48
2016.0,1.0,6.0,20.0,0.0,0.02,2.44
2016.0,1.0,6.0,21.0,0.0,0.0,2.2199999999999998
2016.0,1.0,6.0,22.0,1.0,0.0,2.3
2016.0,1.0,6.0,23.0,1.0,0.06,1.98
2016.0,1.0,6.0,24.0,0.0,0.12000000000000002,1.86
2016.0,1.0,7.0,1.0,0.0,0.04,1.7
2016.0,1.0,7.0,2.0,0.0,0.1,1.8
2016.0,1.0,7.0,3.0,0.0,0.04,1.78
2016.0,1.0,7.0,4.0,0.0,0.0,1.94
2016.0,1.0,7.0,5.0,1.0,0.04,1.78
2016.0,1.0,7.0,6.0,0.0,0.02,1.6600000000000001
2016.0,1.0,7.0,7.0,0.0,0.22000000000000003,1.52
2016.0,1.0,7.0,8.0,0.0,0.04,1.44
2016.0,1.0,7.0,9.0,0.0,0.02,1.52
2016.0,1.0,7.0,10.0,1.0,0.02,1.86
2016.0,1.0,7.0,11.0,1.0,0.0,2.4799999999999995
2016.0,1.0,7.0,12.0,0.0,0.02,2.96
2016.0,1.0,7.0,13.0,2.0,0.02,3.38
2016.0,1.0,7.0,14.0,1.0,0.02,3.66
2016.0,1.0,7.0,15.0,0.0,0.08,3.8200000000000003
2016.0,1.0,7.0,16.0,1.0,0.0,3.38
